"행정구역","2021년11월_계_총인구수","2021년11월_계_연령구간인구수","2021년11월_계_0~9세","2021년11월_계_10~19세","2021년11월_계_20~29세","2021년11월_계_30~39세","2021년11월_계_40~49세","2021년11월_계_50~59세","2021년11월_계_60~69세","2021년11월_계_70~79세","2021년11월_계_80~89세","2021년11월_계_90~99세","2021년11월_계_100세 이상"
"서울특별시 동대문구 이문제1동(1123074000)","18,003","18,003","665","1,171","4,794","2,149","2,254","2,588","2,165","1,415","717","82","3"
"서울특별시 동대문구 이문제2동(1123075000)","20,014","20,014","1,178","1,719","2,753","2,446","3,040","3,379","2,809","1,839","753","94","4"
"서울특별시 중랑구 (1126000000)","387,667","387,667","21,419","25,540","54,312","56,942","55,755","67,614","60,625","31,161","12,611","1,608","80"
"서울특별시 중랑구 면목제2동(1126052000)","24,032","24,032","1,141","1,464","3,209","3,212","3,489","4,757","3,806","2,048","789","113","4"
"서울특별시 중랑구 면목제4동(1126054000)","19,085","19,085","1,007","1,196","2,458","2,665","2,945","3,291","3,022","1,813","616","68","4"
"서울특별시 중랑구 면목제5동(1126055000)","14,792","14,792","1,389","880","1,761","2,676","2,293","2,419","1,985","995","358","36","0"
"서울특별시 중랑구 면목본동(1126056500)","33,525","33,525","1,402","1,807","5,203","5,175","4,778","6,157","5,077","2,744","1,069","108","5"
"서울특별시 중랑구 면목제7동(1126057000)","21,770","21,770","1,117","1,172","2,972","3,269","3,064","3,781","3,652","1,941","707","94","1"
"서울특별시 중랑구 면목제3.8동(1126057500)","24,842","24,842","1,011","1,389","3,652","3,500","3,358","4,590","4,128","2,228","869","113","4"
"서울특별시 중랑구 상봉제1동(1126058000)","24,150","24,150","1,693","1,865","3,412","3,591","3,471","4,215","3,541","1,565","704","90","3"
"서울특별시 중랑구 상봉제2동(1126059000)","20,413","20,413","761","751","4,247","4,471","2,587","3,074","2,592","1,332","518","67","13"
"서울특별시 중랑구 중화제1동(1126060000)","19,695","19,695","1,140","1,266","2,770","3,132","2,720","3,215","3,188","1,610","589","63","2"
"서울특별시 중랑구 중화제2동(1126061000)","24,946","24,946","1,006","1,124","3,625","3,666","3,313","4,742","4,283","2,154","940","90","3"
"서울특별시 중랑구 묵제1동(1126062000)","34,505","34,505","2,148","3,021","4,846","4,720","5,548","5,528","4,882","2,594","1,078","126","14"
"서울특별시 중랑구 묵제2동(1126063000)","18,807","18,807","965","1,153","2,645","2,888","2,757","3,164","3,018","1,549","600","65","3"
"서울특별시 중랑구 망우본동(1126065500)","31,713","31,713","1,796","2,004","4,192","4,436","4,328","5,677","5,392","2,653","1,069","158","8"
"서울특별시 중랑구 망우제3동(1126066000)","16,344","16,344","694","1,036","2,180","2,015","2,224","3,178","2,868","1,468","586","94","1"
"서울특별시 중랑구 신내1동(1126068000)","38,534","38,534","2,949","3,778","4,711","4,710","5,842","6,364","5,815","2,835","1,309","211","10"
"서울특별시 중랑구 신내2동(1126069000)","20,514","20,514","1,200","1,634","2,429","2,816","3,038","3,462","3,376","1,632","810","112","5"
"서울특별시 성북구 (1129000000)","431,313","431,313","27,524","36,126","65,737","58,591","67,666","69,261","56,754","32,536","15,014","2,029","75"
"서울특별시 성북구 성북동(1129052500)","16,587","16,587","733","1,140","2,730","2,489","2,507","2,748","2,096","1,278","723","137","6"
"서울특별시 성북구 삼선동(1129055500)","22,949","22,949","1,021","1,798","4,218","3,225","3,427","3,694","2,795","1,777","881","102","11"
"서울특별시 성북구 동선동(1129057500)","15,508","15,508","522","916","4,561","2,497","1,949","1,952","1,529","1,024","480","73","5"
"서울특별시 성북구 돈암제1동(1129058000)","14,719","14,719","777","1,221","1,963","1,918","2,065","2,650","2,222","1,246","583","69","5"
"서울특별시 성북구 돈암제2동(1129059000)","23,950","23,950","1,900","2,742","2,854","2,937","4,255","4,141","2,807","1,440","733","138","3"
"서울특별시 성북구 안암동(1129060000)","14,965","14,965","422","798","5,211","2,061","1,572","1,949","1,512","928","451","57","4"
"서울특별시 성북구 보문동(1129061000)","15,392","15,392","940","918","2,603","2,556","2,305","2,517","1,965","1,046","479","59","4"
"서울특별시 성북구 정릉제1동(1129062000)","18,187","18,187","1,386","1,709","2,237","2,524","3,123","2,829","2,286","1,356","656","79","2"
"서울특별시 성북구 정릉제2동(1129063000)","23,010","23,010","1,407","1,781","3,190","3,058","3,436","3,782","3,445","1,936","856","115","4"
"서울특별시 성북구 정릉제3동(1129064000)","15,062","15,062","563","904","3,091","1,842","1,786","2,327","2,297","1,423","720","106","3"
"서울특별시 성북구 정릉제4동(1129065000)","24,916","24,916","1,470","2,084","3,232","3,043","4,048","4,189","3,654","2,134","921","139","2"
"서울특별시 성북구 길음제1동(1129066000)","35,542","35,542","3,637","4,950","3,378","4,238","7,750","5,158","3,382","2,057","863","125","4"
"서울특별시 성북구 길음제2동(1129068500)","16,637","16,637","1,428","1,422","2,015","2,413","2,843","2,758","2,166","1,072","457","62","1"
"서울특별시 성북구 종암동(1129070500)","38,889","38,889","2,507","3,589","5,586","5,039","6,203","6,345","4,975","2,850","1,545","243","7"
"서울특별시 성북구 월곡제1동(1129071500)","26,416","26,416","1,922","2,556","2,985","3,497","4,450","4,239","3,666","2,113","886","102","0"
"서울특별시 성북구 월곡제2동(1129072500)","19,500","19,500","1,000","1,415","3,486","2,704","2,736","3,010","2,748","1,585","719","95","2"
"서울특별시 성북구 장위제1동(1129076000)","24,342","24,342","1,740","1,887","3,353","3,381","3,714","4,214","3,459","1,750","756","86","2"
"서울특별시 성북구 장위제2동(1129077000)","13,720","13,720","566","850","1,951","1,805","1,870","2,383","2,258","1,357","608","70","2"
"서울특별시 성북구 장위제3동(1129078000)","15,888","15,888","1,679","1,328","1,992","2,477","2,622","2,501","1,972","924","351","37","5"
"서울특별시 성북구 석관동(1129081000)","35,134","35,134","1,904","2,118","5,101","4,887","5,005","5,875","5,520","3,240","1,346","135","3"
"서울특별시 강북구 (1130500000)","299,792","299,792","14,241","20,886","41,222","37,237","44,083","51,687","47,182","29,342","12,412","1,452","48"
"서울특별시 강북구 삼양동(1130553400)","23,688","23,688","1,176","1,853","3,059","2,858","3,429","4,287","3,820","2,199","884","117","6"
"서울특별시 강북구 미아동(1130553500)","21,597","21,597","694","1,260","3,699","2,856","2,909","3,699","3,443","2,037","903","96","1"
"서울특별시 강북구 송중동(1130554500)","29,563","29,563","1,431","1,952","4,170","3,932","4,370","5,110","4,693","2,707","1,075","120","3"
"서울특별시 강북구 송천동(1130555500)","26,448","26,448","965","1,533","3,441","3,115","3,671","4,864","4,714","2,836","1,176","124","9"
"서울특별시 강북구 삼각산동(1130557500)","31,395","31,395","2,776","3,904","3,318","3,612","6,232","5,131","3,456","2,006","857","99","4"
"서울특별시 강북구 번1동(1130559500)","18,383","18,383","610","1,014","3,142","2,642","2,740","3,071","2,714","1,705","670","73","2"
